Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
300000,1.7645851,-7.417752,0.14015551,1081.6,-135.9,-135.9,1.0563861599192024,1.0
310000,1.7763894,-7.5109925,0.13055255,1604.3333333333333,-210.83333333333334,-210.83333333333334,1.4953695718819897,1.0
320000,1.7888936,-7.318263,0.14152089,1127.6666666666667,-139.44444444444446,-139.44444444444446,1.716898900637817,1.0
330000,1.796465,-7.8417706,0.13482112,1960.6,-277.6,-277.6,1.6995274249464274,1.0
340000,1.8011808,-7.6580276,0.1448389,1556.4285714285713,-187.85714285714286,-187.85714285714286,1.7732467789735114,1.0
350000,1.806792,-7.9233184,0.14022122,1525.6666666666667,-222.16666666666666,-222.16666666666666,1.6958698312131066,1.0
360000,1.8272759,-9.431835,0.14656135,1514.2857142857142,-258.57142857142856,-258.57142857142856,1.408664451180292,1.0
370000,1.8385329,-8.5089245,0.13990459,1445.1666666666667,-234.66666666666666,-234.66666666666666,1.4514375945242743,1.0
380000,1.8559124,-7.3699875,0.13156667,1119.0,-165.0,-165.0,1.035770502872765,1.0
390000,1.8686064,-8.619701,0.14210394,1394.857142857143,-178.125,-178.125,1.1937907059909776,1.0
400000,1.8774745,-9.569555,0.16458815,1561.857142857143,-306.3333333333333,-306.3333333333333,1.5661782616128523,1.0
410000,1.8875962,-9.672655,0.14780816,1612.3333333333333,-267.0,-267.0,1.5159951443118709,1.0
420000,1.8961383,-9.687694,0.152353,1555.5,-255.5,-255.5,1.4895506431348622,1.0
430000,1.9152032,-8.734652,0.124188915,2324.5,-268.0,-268.0,1.909497244283557,1.0
440000,1.9276763,-9.10486,0.115288116,2544.25,-374.25,-374.25,3.0324479187838733,1.0
450000,1.9387658,-9.4179325,0.13449204,1796.8,-289.4,-289.4,1.8993370909243823,1.0
460000,1.9499314,-7.7221284,0.12513866,1826.1666666666667,-211.0,-211.0,1.6961938314295064,1.0
470000,1.955723,-10.1961775,0.14498797,2175.8,-356.2,-356.2,1.9969250988215208,1.0
480000,1.9598005,-8.524618,0.14938511,2289.75,-273.0,-273.0,2.58540753275156,1.0
490000,1.9617486,-8.092546,0.13193807,1557.142857142857,-162.28571428571428,-162.28571428571428,1.5222091163907732,1.0
500000,1.9663545,-9.275438,0.11339433,2424.3333333333335,-258.0,-258.0,2.4131671798725924,1.0
510000,1.9728053,-10.166497,0.122202225,2964.25,-363.5,-363.5,3.160150440875441,1.0
520000,1.9788105,-6.877867,0.12103312,1216.0,-107.0,-107.0,1.5559204518795013,1.0
530000,1.987529,-8.499019,0.11443703,1364.0,-172.14285714285714,-172.14285714285714,1.6560795222009932,1.0
540000,1.9961063,-5.0363398,0.10740809,1041.0,-69.0,-69.0,0.9040476135443896,1.0
550000,1.9976996,-6.673278,0.1334798,1338.857142857143,-153.57142857142858,-153.57142857142858,1.1938195637028133,1.0
560000,2.004557,-7.222313,0.15686998,1525.1666666666667,-160.0,-160.0,1.3166402730469902,1.0
570000,2.0236747,-5.747277,0.14045307,1679.6,-187.8,-187.8,15.978437931090593,1.0
580000,2.040647,-6.4036803,0.21060288,1367.625,-98.875,-98.875,3.995810289052315,1.0
590000,2.0565312,-7.5602202,0.50541097,1492.375,-207.875,-207.875,6.579747190698981,1.0
600000,2.0730143,-9.4551935,0.94823647,503.52941176470586,-92.11764705882354,-92.11764705882354,6.319551598116317,1.0
610000,2.0770223,-9.052504,0.7957819,1037.0,-209.55555555555554,-209.55555555555554,20.147351506683563,1.0
620000,2.077682,-9.011338,0.6896492,2340.0,-359.4,-359.4,18.436699017882347,1.0
630000,2.0841525,-6.882084,0.6158191,2395.6666666666665,-393.0,-393.0,21.008365005254745,1.0
640000,2.0939376,-5.6762757,0.59234816,2714.0,-232.75,-232.75,14.721986260265112,1.0
650000,2.110339,-6.484424,0.6025163,2999.0,-319.25,-319.25,8.941504967398942,1.0
660000,2.1202157,-3.8451324,0.48284087,2999.0,-153.0,-153.0,6.479579940438271,1.0
670000,2.1294887,-5.9495316,0.5027825,2999.0,-143.0,-143.0,6.5912595596164465,1.0
680000,2.1468728,-5.355344,0.46264938,2380.4,-189.0,-189.0,5.390959122218192,1.0
690000,2.1672983,-2.6409159,0.37559444,2999.0,-64.0,-64.0,5.760552017018199,1.0
700000,2.1763198,-1.2562096,0.33747727,2999.0,-5.0,-5.0,5.142508781515062,1.0
710000,2.1866012,-1.5447093,0.32384548,2827.75,-1.5,-1.5,6.208419437520206,1.0
720000,2.1951108,-1.3172016,0.30196434,2999.0,20.333333333333332,20.333333333333332,5.003597725803654,1.0
730000,2.1956658,-2.5809178,0.31410202,2565.75,-41.5,-41.5,4.828238314948976,1.0
740000,2.202551,-3.1510358,0.3318229,2999.0,-32.25,-32.25,6.323097054846585,1.0
750000,2.200812,-1.4541804,0.28352472,2403.3333333333335,-22.0,-22.0,5.028255852560203,1.0
760000,2.207592,-3.0164084,0.32996795,2230.2,-55.4,-55.4,5.738524098694325,1.0
770000,2.2145414,-2.9317102,0.31432384,2167.0,-32.0,-32.0,4.248393519967794,1.0
780000,2.2176924,-0.66425455,0.24467647,2308.25,11.25,11.25,4.345520753413439,1.0
790000,2.2311795,-0.5313192,0.22976233,2738.5,51.5,51.5,4.345728822983801,1.0
800000,2.245464,-0.51793265,0.23213056,2655.3333333333335,29.333333333333332,29.333333333333332,5.385493086030086,1.0
810000,2.2446666,-1.0151896,0.26368627,2567.0,12.25,12.25,5.395682160742581,1.0
820000,2.2458966,-0.35567838,0.22295815,2476.0,36.4,36.4,4.2747223496437075,1.0
830000,2.2520924,0.17622958,0.2096009,2549.6666666666665,61.333333333333336,61.333333333333336,4.373798130700986,1.0
840000,2.2565322,0.27898875,0.21178842,2427.25,47.5,47.5,3.8157463911920786,1.0
850000,2.2698624,0.8659283,0.1936692,2661.75,87.25,87.25,4.182763445191085,1.0
860000,2.270829,1.1628997,0.18749268,2999.0,114.0,114.0,4.458898501470685,1.0
870000,2.2670588,1.0190421,0.19333284,2225.0,69.75,69.75,3.394954134710133,1.0
880000,2.2594368,1.5584352,0.18363552,2382.6666666666665,97.33333333333333,97.33333333333333,3.7284750267863274,1.0
890000,2.2530816,1.7903134,0.18242854,2999.0,131.0,131.0,4.728453202173114,1.0
900000,2.2422748,2.1177573,0.1779315,2999.0,144.66666666666666,144.66666666666666,4.240101950863997,1.0
910000,2.2343893,2.1026556,0.17632094,2363.3333333333335,121.75,121.75,3.9253595244372264,1.0
920000,2.2337124,2.3521352,0.17051819,2999.0,144.0,144.0,4.657563656568527,1.0
930000,2.2376046,2.7201734,0.16664289,2999.0,159.0,159.0,4.518509126268327,1.0
940000,2.242278,2.8358994,0.1614418,2374.0,126.25,126.25,3.705239400267601,1.0
950000,2.243161,2.9334416,0.15867089,2260.0,120.5,120.5,3.126144857145846,1.0
960000,2.247899,3.129827,0.15681897,2999.0,163.75,163.75,4.576407396234572,1.0
970000,2.2556236,3.1000745,0.15151048,2999.0,171.66666666666666,171.66666666666666,5.074858269343774,1.0
980000,2.2509027,3.448562,0.15101545,2999.0,176.33333333333334,176.33333333333334,4.311871213217576,1.0
990000,2.2429905,3.5343208,0.15352538,2999.0,178.25,178.25,4.461458963342011,1.0
1000000,2.2425768,3.7680943,0.15083435,2999.0,195.33333333333334,195.33333333333334,4.717010160287221,1.0
